Card File Name,Card number,Teaching,Activity,content sections
TAoSH-33-8,33,"What is Spontaneous Visualisation?
“Spontaneous visualisation” is the type of visualisation that occurs during meditation or when you ponder (ie., think about) a question and a vision pops into your mind randomly. You don’t need to DO something to make it happen like when you access your memory and you have to consciously bring that memory into your mind to recall what happened.

With spontaneous visualisation, it just arrives in your mind’s eye in a similar way to when you watch a movie for the first time and you don’t know what comes next.","Exercise: Spontaneous Visualisation
• Close your eyes for a moment and imagine you are inside a shell. You have not experienced this before, so whatever comes up for you is spontaneous. You are not accessing a memory for the vision to manifest. This is spontaneous visualisation.",
TAoSH-34-8,34,"Consider viewing your strengths and weaknesses through a new lens. Instead of thinking the things you are good or excellent at as your strengths and the things that you are not so good at or simply cannot do as your weaknesses, consider that your strengths are the things you do that strengthen your energy and the things that weaken your energy are your weaknesses.","Exercise: Strengths and Weaknesses
• Take a notebook around with you for a week – it doesn’t need to have red and green on the cover (but it may help). Write down all the things you do that uplift at the front of the notebook and all the things that deflate your energy at the back of the book. At the end of the week review your findings. Once you know what your true strengths and weaknesses are, make plans to outsource your weaknesses and magnify your strengths. This may not happen overnight, however, to live your authentic life you have to start somewhere so it may as well be here.

• Get yourself an accountability buddy who will support you to create these shifts in your life.

NOTE: This exercise does not mean you leave your job, struggle financially and create unnecessary hardship. This is an invitation to observe your strengths and weaknesses, understand yourself more and plan the transformation of your life by managing your energy better. It may even create an opportunity for your job description to be restructured so your strengths benefit your business or your employer’s business.",
TAoSH-35-8,35,"Technology Free Time
In the beginning, you miss the adrenalin that comes from the immediacy of this form of communication, but after a while you find you don’t miss it at all. Being uncontactable on the cyber grid means you can be fully present in whatever activity or relationship you are engaged in physically.","Exercise: Technology Free Time
Turn of your technology for a reset retreat for 24 hours or more.

Being plugged in 24/7 doesn’t give you any downtime. The reality is you are always available and constantly on high alert. The fight or flight mechanism is being abused by being so accessible night and day.

The world doesn’t fall apart if you go off “the technology grid”. In fact, when you plug back in you may find your cyber community is more connected with you because they’ve missed you.

If you opt-out of the “technology grid” for 1 day per week – you will feel like you have had a holiday. The impact on your ability to rejuvenate your energy levels will be so great you will want to do it more often. If you can’t opt-out 1 day per week, it is crucial for your long term well-being to opt-out 1 day per month.",
TAoSH-36-8,36,"Have you ever picked up your telephone for apparently no reason, put it back down and seconds later it rings? What happened is you received the thoughts of the person calling you as they either entered your number on the keypad or they were searching for your name in their contacts list. 

Have you ever heard your telephone ring and know who is calling you before you pick up the phone? This is for the same reason as above, you are receiving their thoughts about contacting you.","Exercise: Telepathy
You can grow this intuitive skill. Every time the phone rings tune into whom the caller may be. The secret  is to reflect on the previous few minutes and recall who floated through your mind. The person ringing more often than not subtly touched your mind in that time with their thoughts.

This is a great exercise for becoming aware of the elusive and subtle connections that happen all the time as seemingly random thoughts. If you reach out to the people who touch your mind like this, you will get confirmation they were thinking of you.",
TAoSH-37-8,37,This meditation will make a difference to the harmony of our home.,"Exercise: Train Light
Sit in the same spot; with the same meditation cushion; and at the same time of day if possible. A meditation shawl will help you drop into deeper meditation faster. 

• Take 3 deep breaths in and then breathe normally.

• Imagine you are standing at the entrance of a train tunnel and you slowly walk towards a stationary train at the other end of the tunnel.

• Imagine what the tracks; the timber sleepers; the walls of the tunnel; the air ... all feel like. Even the smells - imagine what they smell like.

The simplicity of this meditation is in the darkness of the tunnel and the circle of bright light drawing you towards it with every step. It is an amazing meditation.",
TAoSH-38-8,38,,"Ways to Rejuvenate
These are some ways you can rejuvenate:

• reconnect with your friends and family
• have a bbq in the park
• play board games – this can be lots of fun
• read a book
• go for a drive in the country
• go for a bush walk
• garden

Do whatever connects you back into the Divine Stream in a way that works for you. The benefit of this is you experience spontaneous joy. Yes, unexpected and delicious! Highly recommended.",
TAoSH-39-8,39,"Working out what to do next can be a huge challenge.

This exercise is an extraordinary process which has helped many people get the job of their dreams, create awesome change in their businesses and lives. Give this method of determining your next move a good go. You may be surprised at what happens when you do.","Exercise: What To Do Next
Sit in a quiet space:

• Imagine you are walking through a forest.

• Walk down about 10 steps.

• Come to a stream with 7 stepping stones – step onto the first stepping stone and a red light shines up – and then the next. Each stone has a different colour – orange, yellow, green, blue, purple, violet.

• Step onto the other side of the bank. In front of you is a magnificent door. Walk up to the door – put your hands on the door and keep pushing as your body follows your ends straight through the door into a meeting room.

• There is a table with chairs – nothing else - a door to the right and a door to the left.

• In front of you is your big chair with buttons on the arm rest – press one of the buttons to open the right hand door and invite the people who will be interviewing you or whom you want a meeting with into the room.

• Ask them to sit down and you interview them. Find out what they want from you to make you an ideal person for the job or whatever you are doing this template for.

• When you are finished asking them questions and interacting with them – thank them for their time and press a button on the left arm of your chair and they leave via the left door.

• You turn around and leave the way you came through the door behind you, go back across the stepping stones and as you step on each stone the colour recedes back into the stone.

• Step onto the bank and walk to the stairs and back along the path, and come all the way back into the room and into your body.

• Become fully present in your body, filling your bones, muscles, organs, bloodstream with the essence of you.

• Take a deep breath in, hold it and gently release it as you come all the way back into the room.

Take note of the information you received on this journey and take the appropriate action you were given insight into.",
TAoSH-40-8,40,,"Exercise: Write a letter
This is an incredibly powerful exercise which I feel is a forgotten healing art. Write a letter to the person whose words or actions have initiated your emotional turmoil. Let it all flow out of you as fast as you can write it.

NOTE: Handwrite the letter rather than type it because handwriting accesses a different part of your brain and you connect with your emotions better. It may take longer to write, but it is worth it. Make the letter as long as there is flow; keep writing until there is no residue of emotion left around this situation. The true blessing from this process is to end the letter with your learnings.

NO! You are not going to post it, as much as you may want to. Instead you are going to have a burning ceremony. This is a powerful emotional cleanse.

Build a small fire, either inside or outside and make a ceremony out of the process. You can have candles, incense, singing bowl, bells or gong or anything you have on hand. Have a pre-written prayer or allow free thought to flow through you as you set the intention to release all the emotion to the universe.

This is a sacred act for you, not a punishing act about or against another. You are doing this to be relieved of destructive trapped emotion that will not serve your holistic wellbeing.",
TAoSH-41-8,41,,"Template: 380 Nanometer Crystal Hut
On your screen of mind, imagine you are inside a crystal hut (it is the shape of a cylinder with a cone on top as the roof). The sun is shining brightly in the midday sky and the crystal filters the sunlight allowing only the light vibration of 380 nanometers to penetrate the crystal and you. Receive the rich healing of the 380 nanometers and stay there as long as you need to.

Experiment with this healing template. Take a note if you experience a tangible shift in your health? To maintain any transformation repeat this template regularly.
",
TAoSH-42-8,42,I recommend this process if you have a premonition or feel that a loved one needs help.,"Template: A loved one protection
STEP 1: Connect into the energy of your loved one.

STEP 2: Visualise a pillar of golden light descending from high above come down over your loved one and see them encased in this golden light.

STEP 3: Ask that they be protected from harm and arrive home safely – whether that be to your place or their place, depending on where they live.",
TAoSH-43-8,43,,"Template: Alimentary Canal Healing
This process lines the inside of the alimentary canal with a sheath.

Imagine you have the beginning of the sheath in your mouth. It looks like a clear plastic skin and it begins to unravel in your mouth and lines the entire canal from the mouth, down the oesophagus, balloons out to line the stomach, down into the duodenum and continues through the small intestine, into the large intestine and through to the anus.

Once you have done this, imagine you have a huge bucket of white cream. You need to cover the entire sheath you have placed in your alimentary canal with this cream. It is similar to icing a cake with a layer of icing.

The next step is to bring another layer through the canal. It is almost like sausage skin. Take that from mouth to anus and you can do this quite quickly as the dimension you are working in to do these visualisations doesn’t have the constraints of our physical reality. You can warp speed your visualisations.

What you have ended up with now is skin, cream, skin. 

Continue this process until you have 10-20 layers. I’m not going to give you a definite number here – you need to feel into this intuitively and determine what would be best for you and your current situation.

Once you have visualised as many layers as you intuitively feel is needed – flood the entire alimentary canal with emerald green light. Track the light from the mouth, down the oesophagus, into the stomach, through the small and large intestine and out the back passage.

When this is complete – repeat the process with bright white light – and when you reach the anus there will be what feels or looks like an explosion of bright light. Take a deep breath in. As you gently release the breath come all the way through the light back into your body and into the room.

This technique is not a once off template. If you have an alimentary problem, I recommend you repeat this process daily until you scan your entire alimentary canal and you see and feel it as being a healthy system.",
TAoSH-44-8,44,,"Template: Bubble over house
It’s a great feeling to know your home is protected energetically. 

STEP 1: Visualise a bubble of white light surrounding the entire property with a force field of protection.

STEP 2: Say this prayer “Join the bubble with the land to keep intruders out and keep my home safe. Thank you God for keeping my house safe day and night.”

It’s simple and effective.",
TAoSH-45-8,45,This template came about after I heard a story about a man who said he healed a burn he received from a burst radiator on his car. He didn’t share how he healed the burn. I figured out another way after getting an oil burn.,"Template: Burn healing
Sit quietly, close your eyes and place your hand over the burn. Take a deep breath in and as you gently release the breath imagine you can see the burn from the inside.

Flood it with royal blue light as it acts as an anaesthetic.

Imagine you are looking at a transverse section of the burn. You will see where the burn has affected the skin and gradually recedes to healthy skin.

Now imagine a roll of plastic wrap - this is new human skin. Pull a sheet of plastic wrap skin from the roll and lay it under the burn in the good skin area.

Now add a layer of white cream – completely covering the new skin. And then added another layer of skin over the white cream. In a manner similar to making lasagne. The burn would have looked like a crater in the transverse image. 

Continue with the layers until the crater is filled – it will take approximately 40 layers.

Flood the layers from the top to the bottom with emerald green light. I use emerald green light because it sets the intention for healing. After this, flood the vision with bright white light to complete the healing. As it reaches the bottom of the crater there will be an enormous alchemical flash and the healing is complete. Using the flash as a catalyst, the essence of you travels back into your body.

By the time you finish this process, the redness which spread out around the burn will disappear and the intense pain should be gone. However, there will still be a red mark where it was severely burnt which may not blister after this technique.

Within half an hour, you will most likely have forgotten about the burn. Interestingly, within 24 hours the burn area will most likely change to a deep burgundy colour. Within a couple of days this will probably disappear; you'll forget about the burn and approximately two weeks later, the skin will peel like sunburn where the major burn had been. 

There should be no scar or evidence of a burn.",
TAoSH-46-8,46,Do this template when you have a bad feeling about driving in a car whether you are the driver or a passenger.,"Template: Car protection
• Imagine your car is surrounded by a skirt of old tyres tied together. They are all the way around the middle of the car.

• Then around the tyres visualise a strong band of golden light.

• Visualise a starting point on the car and imagine you have a magic wand.

• Imagine walking around the car with this wand activating the golden light as you walk around the car – be sure that the end point of the light meets the starting point.

• Now, surround each occupant in the car with a bubble of golden light.

• Lastly, say this prayer with your inner voice to complete the process

“Please God protect this car and all the occupants from harm – and ensure that we arrive safely at our destination. Amen”",
TAoSH-47-8,47,Sometimes you may feel like you have a clunky shoulder or you can’t lift your shoulder up as high as you want to. It feels like you have a restriction inside your shoulder joint. Or it may even crunch when you move it.,"Template: Clunky or crunchy shoulder
Make yourself comfortable, you can be sitting or lying down. Take 3 deep breaths in and then breathe normally again. Now travel inside your shoulder socket via your screen of mind. The ball and the socket look something like a cup. As you travel inside your shoulder keep an eye out for gravel or sand or maybe lumps on the socket or the ball.

If you find sand or gravel, imagine you can vacuum up any loose material with the universal vacuum cleaner which spontaneously appears in your visualisation. After you’ve done this, imagine you have some fine sandpaper and sand all the rough areas until they are smooth.

When everything feels smooth, that is no lumps or restriction of any sort, imagine you have an Aladdin’s lamp filled with golden healing oil. It has a magnificent texture and actually oozes a little bit when you pour it out onto a very soft cloth.

Use this oily cloth to polish everything in your vision ie., the shoulder ball, the socket and surrounding area. 

Once you have polished everything, infuse the whole vision with emerald green light to set the healing and finish with a bright white light. Wait for the alchemical flash and come back into your body. Take a deep breath and gently release. Open your eyes when you are ready.

Move your shoulder around. How does it feel? Hopefully it feels amazing and moves freely. If not, repeat the process.",
TAoSH-48-8,48,"When you connect intuitively, energetically or psychically with someone you create a strong energy bond. This bond is a deeper connection than every day interactions with others.

I refer to these bonds as psychic cords and if you do not deliberately cut these psychic cords, you are bound to that person in a way that can establish a psychic drain on your energy. Without proper management, the energy needs of the person you work with will determine how much of a drain they are on you.

If the person you connect with is sick, they are energetically seeking any means of re-energising themselves they can. Energy cords are one of the first ways they do this.

In saying that it sounds like this is a malicious and reprehensible act. Most of the time this is done unconsciously and is a primal act of survival. Most people would be mortified to know they are doing it.","Template: Cut Energy Cords
By being responsible and deliberately cutting the cords after every psychic/intuitive connection, your energy levels will stay stronger.

I strongly recommend you cut all energy cords daily whether they are made from psychic/intuitive connections or standing next to someone in the street. Make it a practice to cut all cords daily.

I hear you saying “I don’t have time!” That’s not true!

When you go to bed at night make it the last thing you do before falling to sleep. You can do it in 1-2 minutes. See Personal Cleansing template on page 18.

If you have any other rituals or practices when doing healing on others – then continue with them. If you don’t already observe the rules above, consider including them.

You don’t HAVE to follow these rules; however they have helped me develop exceptional intuitive skills since 1984.",
TAoSH-49-8,49,,"Template: DNA Codon Activation
• Step into your sacred creation temple. On your screen of mind imagine a double helix DNA strand. Inside the strand is a lift. Step inside the lift and press level 21. You will start this template with the presumption your 20 codons of normal DNA are switched on.

• Watch the buttons on the lift as you shoot up to level 21. As you go past each level the lift button should light up. Take note if any button does not light up. You will go back and fix this later.

• When you get to level 21, the doors open and you see a concrete ledge with a pipe at eye height. This pipe represents your codon. If there is a button/plug pushed into the pipe, this codon is switched off. Take the button/plug out of the pipe and put it on the ledge at your feet – this turns the codon on and allows the energy to flow.

• Take a deep breath in and feel what happens in your physical body. You may feel energy activate somewhere. This is a spontaneous experience and not one to fake or copy.

• Step back into the lift and press level 22. Repeat the process as above.

• Repeat for Level 23 and Level 24.

• Step back into the lift. If you had any buttons between G-20 which didn’t light up on the journey up to Level 21, go back and check to see if the button/plug is pushed in or out. Pull it out and put it on the ledge if you need to.

• Once all levels have the button/plug pulled out – go back to Level 24 and press G. As the lift goes down to Ground emerald green light
shines out of each lift button as you pass that floor.

• When you get to Ground, the doors open and bright white light rushes into the lift. Step into the light and hear the doors close behind you. The lift shoots back up to Level 24 taking the bright white light to each level setting the DNA activation.

• You keep walking through the light, back into your physical body and into the room where you started. Come all the way back into your body and if you need to ground yourself, place the palm of your hand over your crown chakra at the top of your head for a few minutes.

Repeat this template each day until you have 24 codons switched on 5 days in a row. Once this happens the DNA Activation has become stable. Then you can check the codons once a week for 4 weeks. If they remain stable at 24 codons switched on - you can then check in once per month.
",
TAoSH-50-8,50,Use this template if you are feeling vulnerable or frightened - whether this is physically or metaphysically.,"Template: Energy Protection Egg
The way this template works is to imagine you are standing inside an
energy egg and the perimeter of this energy egg is made up of gold crosses.

Whilst imagining yourself inside the energy egg, repeat this mantra “Please God Protect Me” until you feel safe again. 

This may be 5 times or 200 times, there is no set number for this.

This template is great for kids who get nightmares or night terrors.",
TAoSH-51-8,51,,"Template: Flower Balancing for anxiety
Make yourself comfortable, close your eyes and imagine or if you can’t visualise, feel that you are a seagull flying out over the ocean. There is no land in sight. All you can see or feel is the sky and the water.

Become conscious of the ocean. What does the water look or feel like? Is it rough? Is it smooth? Is it choppy? Are there white caps? Make a mental note of how the ocean looks or feels when you spontaneously arrive above it.

Visualise or simply feel the ocean as smooth as glass. All you can see is the smooth blue ocean and the radiant blue sky as you hover above the water. You may even see the sunlight sparkling on the glass like surface.

Leave that scene.

Imagine or if you can’t do this feel a beautiful bed of gerberas. Gerberas are flowers with a long thin stem and a colored head with fine petals – similar to a sunflower head. Take a note or feel how the gerberas are growing. Are the stems straight and tall or are some or all of them leaning over or broken? Whatever they look or feel like – use your creative mind to make all the gerberas stand up straight and tall facing the midday sun. Use whatever means you creatively
intuit to do this.

Flick back to the ocean where you were before and make sure the water is still as smooth as glass. If it isn’t make it smooth again.
Change the scene again and imagine you are standing at the edge of a canyon precipice with a rope bridge across it.

Yes, you are going to imagine yourself walking across that rope bridge. The design of the bridge is completely up to you. Feel the fear and walk across despite the fear. When you reach the other side, turn back and look at what you have achieved. Amazingly, the rope bridge transforms into a solid golden bridge.

Walk across the bridge and into the brightest light you could ever imagine.

This is the Divine Source. You have now balanced your horizontal and vertical energy.

Repeat this exercise regularly if the symptoms persist. 

[This template is not a replacement for any medical attention you may need.]",
TAoSH-52-8,52,"Fluid Retention
This template is for the lymphatic system and reducing fluid retention in the body. I use what I call my “Dr Shivago syringe” and it looks a little like this.

Many years ago I was asked if I would come to see a friend of a friend. This person was overcoming major surgery. When I saw this person, I was concerned for their wellbeing. I couldn’t see the outline of any bones in their feet. They looked like big fat sausages on the ends of legs. I was stunned to see how swollen they were.

I asked them to do the above template and they removed all the fluid into the syringes. This took a few minutes and then we started talking about something else.

Within 15 minutes their feet and hands looked normal, I could see all of the bones. It was a remarkable phenomenon to witness.

When something like this happens it feels like a miracle, but basically what you have done is shown the body how to remove the fluid.","Template: Fluid retention
Place your hand over the area with the fluid retention. Imagine you have a huge syringe and place it in the area where the lymphatic system is blocked or where there is swelling. Usually this is in the feet, ankles or underarm. 

Visualise inserting the syringe into the affected area and imagine you are drawing the syringe back and see the fluid flowing into the cylinder compartment. Keep drawing back until the syringe reaches its capacity.

Remove the syringe and place it into a black box beside you.

Imagine inserting another syringe and repeat the process. Keep repeating the process until you are unable to draw fluid into the cylinder. Close the lid on the black box. The universe knows what to do with this waste.

Once this has happened, flood the whole area with emerald green light. And then flood it with bright light. There will be an alchemical flash of light and you come all the way back into your body and into the room. This process sets the healing.",
TAoSH-53-8,53,"Have you ever watched a magic show where the magician floats his assistant in a horizontal position seemingly floating in the air? To prove there are “no strings”, the magician passes a hoop over the suspended body.","Template: Full Body Tune up
This template requires you to see yourself on your screen of mind suspended in mid-air. Imagine a hoop being passed very slowly over your body from head to toe. As you do this, coloured lights spontaneously emit from inside the hoop sending light vibration through your body.

It may be a single colour or a rainbow of colours. This is the spontaneous element of the template. Don’t instruct the hoop what colour light to use.

Simply witness the colours your body needs to heal.

Your task is to imagine the hoop slowly passing over the body. If there is an area of the body which needs a lot of healing work, the hoop will move very slowly – and there will be a lot of colour activity. 

Sometimes it doesn’t seem to be moving at all – just wait – when the healing is complete the hoop will start moving again.

This is not a process you can rush. The timing will be as it needs to go.

It may take 10 minutes to half an hour in human time; or it may only take 2 minutes. There is no timeline. Simply as little or as much time as needed.

Sometimes you’ll notice there are parts of the body the hoop skims over quite quickly. This means you don’t need healing in this part of the body.

Allow the hoop to travel from head to toe as slow or fast as it needs to go and in whatever colour spontaneously shows up.

When the hoop has completely traversed the body, go back to the beginning and instruct the hoop to pass over the body again. If all the healing has been done, the hoop glides smoothly over the body. If there is more healing to be done, the hoop takes its time again.

The whole purpose of this template is to get your body to the point where the hoop glides over it from head to toe very smoothly. And this is your signal that the tune up has been completed.",
TAoSH-54-8,54,,"Template: Gallstones Remedy
Make a mixture of 1/2 cold pressed extra virgin olive oil + 1/2 fresh lemon juice.

• This mixture tastes like a delicious salad dressing.

• Make small amounts – the most I would mix at any one time would be 1/8 cup of oil + 1/8 cup of lemon juice.

Take 1 dessertspoon 4 times a day – a dessertspoon at breakfast / lunch / dinner and before bed and be sure to take it with food.

Take this mixture for 14-21 days. And from between days 14-21 you should pass the gallstones through your bowels.

(Keep the mixture in the refrigerator – the older it becomes the thicker/creamier it will be – this is still fine to drink. It just doesn’t look so palatable.)

[NOTE: Seek medical advice immediately if you are concerned.]",
TAoSH-55-8,55,,"Template: Hold Hands Under Running Water
Hold your hands under cool running water for a couple of minutes and consciously ask that your energy body be cleared of all vibration that is not for your highest good. This is particularly important when you are doing hands on energy work.

However, I find this ritual very beneficial after all psychic or intuitive contact. ",
TAoSH-56-8,56,"Firstly, if your core body temperature goes lower than normal – and this can happen if the early morning cools down and you don’t have enough bed covers. You need to warm up your core body temperature quickly. One of the best ways to do this is to wrap a thin blanket around your abdomen or use a (covered) hot water bottle on your abdomen.

It may also be that you have inadvertently eaten gluten and you are having a reaction to the gluten as it hits your lower bowel. Gluten can take hours to many hours to reach this part of your bowel.

If you don’t monitor your gluten intake, I recommend you trial eliminating gluten from your diet for at least one month to see what impact it has on your overall wellbeing – and particularly on your IBS.

Another problem for IBS sufferers is they can have too much roughage eg., from nuts. Dukkah – an Egyptian nut and spice mix can also trigger bowel spasms. Really it is a matter of observing how your body responds to foods.

Whatever the cause, you need a swift natural process for relieving the spasms.","Template: IBS Spasm Healing
The colour blue can be used to soothe the body. It has an anaesthetic quality which is very calming. The particular vibration of blue to use in this healing template is the blue of the midday sky in summer. It is a rich vital and vivid azure blue.

To do this process, be associated in your body. Imagine you have an azure blue ball of light about the size of a golf ball and place it inside your mouth.

Swallow it.

From inside, track the ball of blue light as it goes down your oesophagus into your stomach, circulate it around the entire circumference of your stomach, into the duodenum, down into the small intestines and then into the large intestines (bowel) and out the back passage.

Sound simple?

When you are not doubled over in pain and you can barely breathe – yes, it’s very simple. However, when you are in pain, it can be a challenge to complete the process in one go.

The secret to this technique being effective is you must stay 100% focused on the journey of the blue ball of light all the way from the mouth to the anus.

If you get distracted by the pain, an outside thought or another vision other than the one I’ve described to you – YOU MUST return to the beginning of the template and start again.

You will need to practice this template regularly as it is the discipline your body will respond to as well as the colour. Your bowel will naturally relax when you initiate this healing template.

In most cases, with practice you will be able to stop the spasms within 1-2 minutes or in a severe case within 5 minutes of using this template – particularly if you use the blanket or warm scarf around the abdomen as well. An added bonus is to release the gas from your bowel too.

However, this is not always possible unless you can train your bowel to relax using the above template or something else that has a similar effect.",
TAoSH-57-8,57,"Use this template for any infection in the body or even for cancer. Particularly if it is blood cancer to sift the cancer cells out of the blood.

You can clean your blood of infection, bacteria and viruses using this process. 

Don’t just limit this template to humans. You can use it successfully on animals, too.

To listen to a recording - to to Insight Timer insig.ht/gm_1273.","Template: Infection Healing
With this template you program your immune system to keep anything that is not for your highest good out of your blood stream. 

Use this template anytime you are concerned about having an infection or being vulnerable to infection – particularly if you need to stay in hospital for any reason.

Imagine or feel the essence of you travel from your lungs into the blood vessel that takes the oxygen filled blood from your lungs to your heart.

It should feel or look like you are in a tunnel that has a red liquid flowing through it. As you become sensitive to the change in light you may notice that you can actually see or feel the different cells in the blood.

Imagine or feel a gold panning sieve being placed in this tunnel. This is a magic sieve and will only allow through the mesh, cells and nutrients which help you stay healthy and safe. The mesh catches anything that could harm you.

Say this prayer to activate the magic sieve:

“Beloved guardians of the sieve please activate the miracle of this sieve and only allow the cells and nutrients that will help keep me healthy and safe to pass through your wire mesh. I ask that this activation stay in place as long as my body needs it. Amen”.

If you are using this template to prevent against infection you can stop here.

However, if you have an infection you will see or feel the sieve filling with all the things that are not serving your wellbeing. There isn’t a particular way this will look. It will be unique in each circumstance.

When the sieve is almost full, place another sieve behind it, remove the full sieve from your tunnel and place it into a black box. From here, it will be safely disposed of by the Universe.

The activation prayer takes care of everything for you.

When the sieve is no longer being filled with infection, feel yourself being gently drawn into the bright Divine Light, come all the way back into the room and into your body.",
TAoSH-58-8,58,,"Template: Magic Blinds
STEP 1: Visualise yellow blinds being pulled down over all of the windows and doors in the house. Do each one individually and when you pull the blind down, witness it transform into a force field of bright yellow light.

STEP 2: Collectively ask that the property be kept safe throughout the
night and day.",
TAoSH-59-8,59,"This template works well for protecting your energy from negative thoughts, words and actions.

If you find you are being drained by loved ones, friends, work colleagues, or even complete strangers experiment with this template.","Template: Magic Mirror Cylinder
If you can’t visualise – then pretend you are doing this. It will still work and protect you from negative, draining situations.

• Imagine you are standing inside a cylinder.

• The outside of the cylinder is completely mirrored.

• The inside of the mirror is warm, comfortable, safe and filled with a
beautiful light (you choose what colour you want – each time you use
this template).

• You may also smell a beautiful, subtle perfume. You may recognise
the scent – it doesn’t matter if you don’t experience this or recognise
it – this is an added dimension to your energy protection.

• Once you feel comfortable in your magic cylinder, say the Prayer of
The Cylinder:

“Only that which is for my highest good may pass through this
magic mirror everything else is reflected back to its source in a kind
manner.”

If you feel like you are being psychically attacked or being drained by
energy vampires, use this template daily.

If you want to make your prayer more personal and longer – transform this simple prayer into one that feels right for you.",
TAoSH-60-8,60,"Master Cells in the Body
I wondered if Master Cells (“MC’s”) existed could they be in charge of the division process within their own sub-group?

And if you could heal each “MC”, could you conceivably heal your body working with a small number of cells.

These questions intrigued me, particularly as I was creating illness within my own body which I wanted to heal. With curiosity, I meditated with these questions in mind and experienced the following technique which has been successfully duplicated by many people.

In a vision, I was shown there are 10 MC’s within the human body and the following process could be used to heal them. I’ve recently wondered whether these Master Cells are part of the stem cell system. It’s an interesting consideration.

When I received these instructions to heal the MC’s, I was very unwell and only 2 out of 10 cells appeared perfectly round. Over the years, this number has varied on each inspection.

We live in a stressful time and it is not enough to do this treatment just the once. Stress impacts us energetically every day and it is wise to check your 10 MC’s at least once a month – preferably once a week – to make sure they are all perfectly round.","Template: Master Cell Healing
• Be seated in a comfortable position (on a cushion, meditation stool or chair).

• Take a deep breath in through the base chakra drawing that breath all the way up through the chakras to the top of your shoulders. Hold it for the count of 5 and gently release the breath, letting go of all negativity and thoughts of the day – repeat 2 more times.

• Breathing normally, imagine you are walking along a pathway and come to a set of stairs. There are seven steps before you and as you walk down each step a colour shoots up and surrounds you. Breathe in this colour all the way to the bottom of your lungs and gently release all the way out before stepping down onto the next step. The colours of the steps are as follows:

RED
ORANGE
YELLOW
GREEN
BLUE
PURPLE
VIOLET

• At the bottom of the steps is a beautiful golden doorway with an ornate handle. Put your hand on the handle and open the door to find an incredible bright golden light that shines out to meet you. Step into this light, breathing it all the way into your lungs and releasing any last residue of negativity and the outside world as you continue walking through the golden light.

• After taking 7 steps, you step into a room that you can decorate creatively and spontaneously as you want. However, there is one item that is required in this room. A very large screen.

• Through creative and spontaneous visualisation you will heal your “10 MC’s”. Remember creative visualisation is where you manipulate the image before your mind’s eye. Spontaneous visualisation is where an image appears in your mind’s eye without conscious thought (a bit of a surprise really!).

• Instruct your “1st MC” to appear on your screen (because you have given this instruction you are to wait for it to arrive spontaneously).

Inspect the cell - if it is not perfectly round, make it round using creative visualisation. You can be as outrageous and adventurous as you want in this process to keep your cell perfectly round. There are no boundaries or limits in this dimension. On my first visit I used building scaffolding to hold my changes in place. Another time, I popped a road pipe inside the cell to keep it round.

• Instruct your “2nd MC” to appear on your screen. Repeat as for “1st MC”. Repeat the process above until you have reviewed your “10 MC’s” and are confident they are all perfectly round.

Now, for the most important part:

• Look at your “10 MC’s” on your viewing screen and creatively see a small candle flame flickering in the centre of each cell. Focus intently on this flame and watch it grow larger and brighter the more you focus, until the entire cell is filled completely with the flame.

• When this occurs within all of them, the cells disappear from the screen in a flash of bright light leaving the screen blank. The healing is now being done.

• Find the doorway you came in through at the beginning of your treatment. Open the door and step back into the bright golden light, breathe it all the way into your lungs and all the way out - completing
the healing process. Take 7 steps through the bright golden light onto the stairs with the coloured lights shining up from each step.

• Walk slowly up the stairs, with each step that you take the colour recedes back into the step, starting with violet through to red:

VIOLET
PURPLE
BLUE
GREEN
YELLOW
ORANGE
RED

• You are all the way back now on the pathway where you began. Take a deep breath in and gently release as you come all the way back into your body. Move your hands and feet and open your eyes when you are ready.

You are now back in the room where you began this healing treatment.

Do you feel lighter than when you started your treatment? Does your body feel energized?",
